Question,Answer
How to create a report that displays non moved items for a specific year?,"Navigate to Reports > Stock Position, and mark the checkboxes for 'Av. Qty.' and 'Stock Position'.; Then, proceed to the 'Additional Info' tab, check the Non-Moved Item box, and click on 'Preview'.; Finally, you'll be able to view the report showing non-moved items."
How to update license?,If you encounter any of these errors: license expires soon | key is licensed to another computer | invalid license.; Please contact Brains to update your license.
How to Fix Sql Error? Cannot open database requested by the login.,If you encounter the error message SQL Error you will need to perform the following actions:; First open your SQL Server to check if your database is (Single User); Go to services and restart SQL Server service.; Next open your SQL Server and create New Query on this Database and Execute the following Query: ALTER DATABASE [YourDatabase] SET MULTI_USER
My custom reports are not working after doing the closing. What can I do?,"First click on the 'Reports' button on the top-right.; Navigate to the previous year's folder, select all of the files and 'Copy' them.; Go back to the new year's folder and paste there."
"How to export transactions dated 2024, which were mistakenly recorded in the company year 2023, and then import them into the company year 2024?","This is an example of a 2024 transaction mistakenly recorded in 2023, which will make the 2024 opening balance incorrect. To fix this, delete the invoice from 2023, perform 'Closing End Of Year', and recreate it in 2024. If multiple invoices are affected, follow the steps in the next section.; Log in to Company Year 2023, then navigate to System > Synchronize > Export.; On the Export screen, enter the date range 01/01/2024 to 31/12/2024. Check only Purchases, Sales, Inventory, and Accounting. Click Browse to specify the export path, then click Export and wait for the process to finish.; Now Log in to Company Year 2024, then navigate to System > Synchronize > Import.; On the import screen, select the 'ReNumber' checkbox. Click Browse to choose the path for the previously exported transactions, then click Import and wait for the process to finish.; After completing the import, proceed to delete those transactions mistakenly recorded in company year 2023. Remember to always create a backup as a precaution. You can now perform the 'Closing End Of Year' process and verify that the opening balance in 2024 should now be correct.; To prevent users from making the same mistake, navigate to Company Year 2023 > System > Passwords > Users List. Enter 31/12/2023 in the Lock Date Field and click the 'Set All Lockdates' button. This action will restrict users from creating transactions for the year 2024 in the wrong year."
How to adjust the RDLC report to prevent the header from repeating on each page?,"By default, the report will display the header on each page. To prevent the header from repeating, follow these steps:; Open the RDLC report in Visual Studio 2013, then click on Advanced Mode in the bottom right corner.; Click on the first (Static) under (Uid) in the Row Groups. Press F4 to open the Properties window. Set the KeepWithGroup property to None, then click Save.; The final result will look like the example shown below: only the first page will display a header, while the subsequent pages will not."
How do you change the currency rate for a specific day and apply the same rate for the rest of the year?,"Navigate to Operations > Currency > Currency Rates, and press Locate. Select a specific date, for example: 15/05/2024, and press Modify. Enter the new rate and press Save.; Then go to Operations > Currency > Currency Rates Auto. Import the date you just updated. Set the range from the updated date + 1 to the end of the year, then click Save."
How to change the item code?,"If you have an item code with a special character that cannot be used for invoicing, such as the code shown below that contains a '*': 'Example-40*40', and you wish to replace the '*' with 'x' or another character, here’s how you can do it.; Navigate to Operations > System Maintenance > Change Item Code.; On this screen, input the item code you want to change in the 'From' field and the new item code in the 'To' field. Then press Save.; This action will update the item code.; The Item Code has been successfully changed."
How to export all suppliers from Brains Software into Excel?,"Navigate to Data Entry > Supplier, then click the Excel button at the top of the Supplier Panel.; After that, Click Export Full Data.; An Excel sheet will open, exporting all saved suppliers along with their complete information."
How to generate a monthly sales report for each salesperson?,"To generate a report showing monthly sales for each salesperson, navigate to Report > Item Sales. From the left panel, select Salesperson, then enter the date range—for example, to view sales for July, choose 01/07/2024 to 31/07/2024—and click Preview. If the salesperson is associated with a specific customer, you can select the Salesperson Customer option. Additionally, you can choose the Summary option to view a summary of the report."
How to exclude the exchange rate difference for a specific general ledger code?,"Go to Data Entry > Accounting > General Ledger. Locate the general ledger code that you wish to exclude. Click the Modify button first, followed by clicking the Skip Difference of Exchange. Than click Save button."
How to set a lock date for users to prevent them from modifying transactions beyond that date?,"This Access Denied message, This operation is beyond your lock date, will appear for restricted users, preventing them from modifying operations past their lock date.; To restrict a specific user, go to Company Year 2024 > System > Passwords > Locate the User > Click Modify > enter the desired Lock Date (e.g., 31/12/202Y) in the Lock Date field, press Enter, and then click Save.; To restrict all users, go to Company Year 2024 > System > Passwords > Users List. Enter the desired Lock Date (e.g., 31/12/202Y) in the Lock Date Field and click the Set All Lockdates button."
How to add a customer's date of birth and generate a report for all customers with birthdates within a specific month?,"To add a customer's date of birth, go to the Data Entry tab, select Customer, and click the Additional Info tab. Click 'Modify,' enter the DOB in the designated field, and then click 'Save.; To generate a birthdate range for a specific month, Go to Reports > Customer, Supplier, or Salesperson > Select 'Customer' > select the desired day and month, but set the year to 1900. For example, to retrieve all customers with birthdays in April, enter the range from 01/04/1900 to 30/04/1900, and you will get all customers with birthdays in April."
How to Print Labels from a TXT File with Barcodes and Quantities?,"Create a TXT file in Notepad, listing barcodes and quantities in the format: `5281234567890,2` (to print two labels for barcode `5281234567890`). Save the file for later import.; Navigate to Reports > Labels and click Import Excel/TXT.; Click Yes to print the labels now.; Or click No for print preview."
